2016-05-02 16:05:23 status unpacked g++-5:amd64 5.3.1-14ubuntu2
2016-05-02 16:05:23 install g++:amd64 <none> 4:5.3.1-1ubuntu1
2016-05-02 16:05:23 status half-installed g++:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:23 status unpacked g++:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:23 status unpacked g++:amd64 4:5.3.1-1ubuntu1
2016-05-02 16:05:23 install make:amd64 <none> 4.1-6
2016-05-02 16:05:23 status half-installed make:amd64 4.1-6
2016-05-02 16:05:23 status unpacked make:amd64 4.1-6
2016-05-02 16:05:24 status unpacked make:amd64 4.1-6
2016-05-02 16:05:24 install libdpkg-perl:all <none> 1.18.4ubuntu1
2016-05-02 16:05:24 status half-installed libdpkg-perl:all 1.18.4ubuntu1
2016-05-02 16:05:24 status unpacked libdpkg-perl:all 1.18.4ubuntu1
2016-05-02 16:05:24 status unpacked libdpkg-perl:all 1.18.4ubuntu1
2016-05-02 16:05:24 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2ubuntu2
2016-05-02 16:05:24 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2ubuntu2
2016-05-02 16:05:24 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2ubuntu2
2016-05-02 16:05:24 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2ubuntu2
2016-05-02 16:05:25 install patch:amd64 <none> 2.7.5-1
2016-05-02 16:05:25 status half-installed patch:amd64 2.7.5-1
2016-05-02 16:05:25 status unpacked patch:amd64 2.7.5-1
2016-05-02 16:05:25 status unpacked patch:amd64 2.7.5-1
2016-05-02 16:05:25 install dpkg-dev:all <none> 1.18.4ubuntu1
2016-05-02 16:05:25 status half-installed dpkg-dev:all 1.18.4ubuntu1
2016-05-02 16:05:26 status unpacked dpkg-dev:all 1.18.4ubuntu1
2016-05-02 16:05:26 status unpacked dpkg-dev:all 1.18.4ubuntu1
2016-05-02 16:05:26 install build-essential:amd64 <none> 12.1ubuntu2
2016-05-02 16:05:26 status half-installed build-essential:amd64 12.1ubuntu2
2016-05-02 16:05:26 status unpacked build-essential:amd64 12.1ubuntu2
2016-05-02 16:05:26 status unpacked build-essential:amd64 12.1ubuntu2
2016-05-02 16:05:26 install curl:amd64 <none> 7.47.0-1ubuntu2
2016-05-02 16:05:26 status half-installed curl:amd64 7.47.0-1ubuntu2
2016-05-02 16:05:27 status unpacked curl:amd64 7.47.0-1ubuntu2
2016-05-02 16:05:27 status unpacked curl:amd64 7.47.0-1ubuntu2
2016-05-02 16:05:27 install geoip-bin:amd64 <none> 1.6.9-1
2016-05-02 16:05:27 status half-installed geoip-bin:amd64 1.6.9-1
2016-05-02 16:05:27 status unpacked geoip-bin:amd64 1.6.9-1
2016-05-02 16:05:27 status unpacked geoip-bin:amd64 1.6.9-1
2016-05-02 16:05:27 install libaio1:amd64 <none> 0.3.110-2
2016-05-02 16:05:27 status half-installed libaio1:amd64 0.3.110-2
2016-05-02 16:05:28 status unpacked libaio1:amd64 0.3.110-2
2016-05-02 16:05:28 status unpacked libaio1:amd64 0.3.110-2
2016-05-02 16:05:28 install libaio-dev:amd64 <none> 0.3.110-2
2016-05-02 16:05:28 status half-installed libaio-dev:amd64 0.3.110-2
2016-05-02 16:05:29 status unpacked libaio-dev:amd64 0.3.110-2
2016-05-02 16:05:29 status unpacked libaio-dev:amd64 0.3.110-2
2016-05-02 16:05:29 install libgeoip-dev:amd64 <none> 1.6.9-1
2016-05-02 16:05:29 status half-installed libgeoip-dev:amd64 1.6.9-1
2016-05-02 16:05:30 status unpacked libgeoip-dev:amd64 1.6.9-1
2016-05-02 16:05:30 status unpacked libgeoip-dev:amd64 1.6.9-1
2016-05-02 16:05:30 install libluajit-5.1-common:all <none> 2.0.4+dfsg-1
2016-05-02 16:05:30 status half-installed libluajit-5.1-common:all 2.0.4+dfsg-1
2016-05-02 16:05:31 status unpacked libluajit-5.1-common:all 2.0.4+dfsg-1
2016-05-02 16:05:31 status unpacked libluajit-5.1-common:all 2.0.4+dfsg-1
2016-05-02 16:05:31 install libluajit-5.1-2:amd64 <none> 2.0.4+dfsg-1
2016-05-02 16:05:31 status half-installed libluajit-5.1-2:amd64 2.0.4+dfsg-1
2016-05-02 16:05:31 status unpacked libluajit-5.1-2:amd64 2.0.4+dfsg-1
2016-05-02 16:05:31 status unpacked libluajit-5.1-2:amd64 2.0.4+dfsg-1
2016-05-02 16:05:31 install libluajit-5.1-dev:amd64 <none> 2.0.4+dfsg-1
2016-05-02 16:05:31 status half-installed libluajit-5.1-dev:amd64 2.0.4+dfsg-1
2016-05-02 16:05:31 status unpacked libluajit-5.1-dev:amd64 2.0.4+dfsg-1
2016-05-02 16:05:31 status unpacked libluajit-5.1-dev:amd64 2.0.4+dfsg-1
2016-05-02 16:05:32 install libpcre16-3:amd64 <none> 2:8.38-3.1
2016-05-02 16:05:32 status half-installed libpcre16-3:amd64 2:8.38-3.1
2016-05-02 16:05:32 status unpacked libpcre16-3:amd64 2:8.38-3.1
